hpcd,mdc6,value
30427,060035,576
90241,010030,576
2388,11012x,575
10056,06007x,575
10057,040040,575
20078,060040,574
20152,050050,574
30012,050080,574
10020,110080,573
10067,040040,573
20080,050130,573
1987,060100,572
2895,110280,572
10026,020110,572
20154,050050,572
30499,070343,572
20117,040040,571
30967,050050,571
10011,140010,570
20116,040040,570
30120,050080,570
30454,040040,570
30538,12002x,570
31395,140010,570
20107,040040,569
20152,050130,569
10057,12002x,568
20026,090010,568
20150,040040,567
30514,060100,566
31322,020110,566
31408,020110,566
20128,060100,565
30058,020110,565
30118,060100,565
30387,060100,565
31341,050170,565
20076,050070,564
30933,040081,564
235,050070,563
10012,050050,563
31186,060100,563
20055,060100,562
30226,050050,562
10031,060040,561
10078,060050,561
20097,050050,561
30570,110070,561
30987,040040,561
20047,040040,560
30763,090010,560
10024,090010,559
30994,060100,559
31241,020110,559
40,160610,558
10078,060010,558
20057,050130,558
20073,050050,558
20076,050050,558
30030,060035,558
30413,100130,558
10053,050050,557
20118,090010,557
20016,050070,556
20048,050050,556
20114,020110,556
20116,020110,556
30008,110080,556
20072,040040,555
20111,060100,555
30212,020110,555
30485,040040,555
10039,060050,553
10065,12002x,553
20005,040040,553
20101,050050,553
30835,020110,553
10061,020110,552
20077,020110,552
30082,120010,552
20026,03001x,551
20030,050050,551
20098,020110,551
31088,040040,550
10059,040040,549
20115,020110,549
30386,020110,549
20047,050050,548
20098,050050,548
20138,040040,548
30570,060020,548
10072,020110,547
20083,050070,547
30978,030250,547
31509,070230,547
20040,090010,546
20069,040040,546
20078,090010,546
31019,050050,546
31157,060100,546
10009,020110,545
20115,050070,545
30282,020110,545
30947,050050,545
10005,020110,544
10026,050050,544
10048,020110,544
20098,040040,544
10063,020220,543
20050,040040,542
20083,040040,542
30499,020110,542
1395,060241,541
30122,020110,541
10019,060100,540
20112,14031x,540
2331,090010,539
10040,040040,539
20051,020110,539
30454,050050,539
10005,050070,538
30760,050050,538
30154,010060,537
30279,12002x,537
30784,050050,537
1323,060100,536
90067,120060,536
10035,050050,535
31406,020110,535
90227,020110,535
10051,040040,534
20024,050070,533
20028,06007x,533
20069,020110,533
20102,050070,533
30250,12002x,533
30913,020110,533
10025,090010,532
30769,060100,532
30405,07040x,531
31408,040040,531
90108,060100,531
20140,050050,530
30557,050050,530
10035,060100,529
20133,050050,529
30349,070230,529
30069,040040,528
10066,060100,527
10076,020110,527
30547,020110,527
30797,050050,527
30900,060100,527
10023,060100,526
10069,040040,526
30134,060100,526
30765,140010,526
31110,040040,526
20060,050161,525
20088,050130,525
30541,050050,525
30698,020110,525
31301,010060,524
10046,070343,523
20076,050130,523
30642,050050,522
31345,120010,522
1786,090010,521
2937,020110,521
10007,020220,521
10013,060020,521
10054,060050,521
20023,140010,521
20083,010060,521
30061,020110,521
10073,020110,520
30748,020110,520
30978,020110,520
2069,100020,519
20045,140010,519
20047,140010,519
30759,050050,519
10074,070560,518
20039,020110,518
90016,010060,518
619,050050,517
30168,020110,517
30456,040040,517
30947,060235,517
20054,060100,516
30325,040040,516
10031,060035,515
20028,110080,515
30903,020110,515
31050,050070,515
90077,020110,515
10052,12002x,514
20003,120060,514
20136,050070,514
31511,050050,514
10078,12002x,513
30115,130030,513
30456,020110,513
30967,020110,513
10031,12002x,512
20043,03001x,512
20106,020110,512
30092,040040,512
30333,050050,512
20114,050130,511
30079,050050,511
30662,050070,511
31080,040040,511
10064,040040,510
20086,010060,510
20123,130030,510
30189,010060,510
31090,060100,510
20119,050070,509
30466,140010,509
30538,060010,509
1824,060241,508
10021,050050,508
10049,120010,508
20083,050130,508
20097,040040,508
30099,060100,508
30538,060050,508
30844,040040,508
1919,07040x,507
10018,060050,507
20003,06007x,507
20034,050070,507
20044,060035,507
20108,060035,507
30002,040040,507
30425,040040,507
20015,040040,506
20037,050050,506
20043,110070,506
20083,060100,506
20106,050050,506
30394,020110,506
30840,050050,506
30874,040040,506
31142,12002x,506
31465,040040,506
1783,110080,505
3125,020320,505
20004,010060,505
20089,020110,505
20153,140010,505
30004,010010,505
30266,110280,505
30477,040040,505
30538,03001x,505
30886,010060,505
10019,040040,504
20038,040040,504
30587,020110,504
10023,050050,503
10031,060050,503
20052,130030,503
20053,050050,503
20066,040040,503
30223,020110,503
30235,060100,503
90164,060100,503
2508,120260,502
20127,060100,502
30169,020110,502
30934,020110,502
30948,050050,502
10073,12002x,501
10078,130030,501
20094,020110,501
30364,060050,501
30570,06007x,501
31142,060100,501
1309,050050,500
20076,040040,500
20119,040040,500
31129,060100,500
1824,060235,499
10058,060100,499
10076,040040,499
2491,060241,498
20088,040040,498
20123,060020,498
10036,12002x,497
10065,14031x,497
30210,090010,497
30366,020110,497
10031,020220,496
10046,050070,496
20049,020110,496
20144,110280,496
30136,060100,496
30839,050050,496
31445,060100,496
2905,020220,495
10020,06007x,495
10021,040040,495
10067,06007x,495
10078,020110,495
20042,140010,495
30662,050050,495
10005,050050,494
10049,040040,494
20014,050050,494
30026,050050,494
30064,010060,494
1074,100130,493
20024,060100,493
20081,040040,493
20145,050050,493
658,050050,492
10018,020110,492
10018,040040,492
10035,140010,492
10065,020110,492
10068,12002x,492
20026,060020,492
30565,040040,492
30878,050050,492
31172,060100,492
31266,040040,492
10024,110280,491
20148,040040,491
30176,060100,491
31341,050130,491
90026,11012x,491
175,050050,490
10005,060050,490
10059,050070,490
20064,060020,490
30008,11012x,490
30254,020110,490
30799,060100,490
2428,07040x,489
10013,060035,489
10020,090010,489
20026,010060,489
30465,050130,489
30482,120180,489
30986,050130,489
20108,060050,488
20129,040040,488
30005,060050,488
30776,040040,488
1167,050050,487
10032,12002x,487
20026,12002x,487
20043,110080,487
20082,090010,487
20097,020110,487
31341,010060,487
31016,020110,486
10056,060050,485
20055,020110,485
20118,040040,485
20130,040040,485
31123,040040,485
31514,110310,485
10079,050070,484
30529,020110,484
30955,050170,484
31140,040040,484
10031,050050,483
10038,050050,483
20094,010060,483
30195,020110,483
30201,050050,483
10021,110280,482
10039,090010,482
10075,060100,482
20090,020110,482
30231,06007x,482
30538,090010,482
30873,040040,482
10016,140010,481
10073,060050,481
20020,110280,481
20060,060100,481
30355,060100,481
10030,040040,480
10066,050070,480
20026,010030,480
20081,140010,480
30604,060100,480
1672,050070,479
1801,020200,479
10002,070560,479
20044,110080,479
20060,050080,479
20085,010060,479
20146,060100,479
20151,050050,479
30023,110280,479
30875,020110,479
20008,050050,478
20016,040040,478
20056,050050,478
20128,070343,478
30004,010060,478
30044,040040,478
30314,060100,478
30492,14031x,478
30976,040040,478
1803,070160,477
20034,010060,477
20122,050130,477
30187,050050,477
31287,090010,477
20011,090010,476
20045,040040,476
20086,050130,476
20126,110280,476
30567,050070,476
31434,050050,476
943,060102,475
10048,060010,475
30874,020110,475
31108,040040,475
2847,140010,474
10033,050070,474
20006,060035,474
20070,040040,474
30422,140010,474
90170,120060,474
1310,110280,473
10028,060100,473
10045,060100,473
20031,060100,473
20122,060020,473
20128,040040,473
30036,070230,473
31068,060035,473
31213,110280,473
10057,060010,472
10070,12002x,472
20147,010060,472
30281,050130,472
30302,060100,472
30354,050050,472
10021,050130,471
20047,060050,471
20048,03001x,471
30009,050070,471
30322,060100,471
30473,040040,471
30733,020110,471
30783,050050,471
90208,060100,471
1288,040040,470
20048,060100,470
20080,050070,470
20099,050050,470
30015,140010,470
30271,050050,470
30773,010060,470
30911,050050,470
30914,020110,470
31016,060035,470
31330,050050,470
269,020110,469
647,11012x,469
20004,040040,469
20066,050050,469
20146,050130,469
30788,040040,469
31193,040040,469
31344,060100,469
10010,12002x,468
10052,090010,468
30431,020110,468
31345,130030,468
10001,120010,467
10002,060050,467
10007,03001x,467
10055,140010,467
30127,060340,467
30279,060020,467
30640,060100,467
30643,040040,467
31142,140010,467
31296,060100,467
90165,07040x,467
1862,060241,466
10021,020110,466
10033,090010,466
20028,040040,466
20052,060030,466
20066,020110,466
30042,010060,466
30122,060100,466
30250,090010,466
30258,020110,466
31179,040040,466
10037,06007x,465
10045,12002x,465
20030,010060,465
20080,040040,465
20106,110280,465
20155,040080,465
30354,020110,465
30567,050050,465
30956,040040,465
31225,050050,465
31508,050050,465
10001,060040,464
10018,050050,464
20042,040040,464
20125,04026x,464
30499,110080,464
31359,140010,464
580,010030,463
10024,010160,463
20052,060050,463
20064,040040,463
20126,050050,463
30253,060100,463
30948,040040,463
30963,020110,463
10052,030250,462
20030,020110,462
20051,090010,462
20058,040040,462
20144,050050,462
30364,060040,462
30438,050050,462
30785,040040,462
31076,020110,462
10007,06007x,461
10046,050170,461
10059,140010,461
20071,020110,461
30533,060100,461
30757,020110,461
30835,040040,461
10026,050070,460
10033,12002x,460
10042,050050,460
10048,06007x,460
20018,020110,460
20028,060020,460
20038,020110,460
20105,050050,460
30325,060100,460
30865,020110,460
31341,010030,460
31360,040040,460
10019,060035,459
10049,090010,459
20108,060040,459
30217,040040,459
30235,040040,459
30839,040040,459
31016,040040,459
31120,040040,459
2123,020110,458
10033,06007x,458
30019,050050,458
2474,120260,457
10027,050050,457
20077,050050,457
20127,140010,457
20149,040040,457
30355,110280,457
10022,110080,456
10024,140010,456
10056,050050,456
20057,050080,456
20093,050070,456
20097,010060,456
20123,110280,456
30290,050050,456
30415,060100,456
31360,050050,456
10011,020110,455
10020,12002x,455
20003,050050,455
20106,130030,455
30044,050050,455
30673,140010,455
30880,020110,455
3017,050050,454
10015,050050,454
20011,060020,454
20122,060035,454
30150,040040,454
30237,060100,454
30504,160800,454
30916,020110,454
31012,050050,454
31156,040040,454
31446,12002x,454
2874,050050,453
20038,050130,453
20041,12002x,453
20114,050050,453
30314,020110,453
30538,130030,453
30541,060100,453
30773,040040,453
31403,060241,453
10008,020110,452
10029,110080,452
20048,020110,452
20120,040040,452
30030,06007x,452
30431,040040,452
30514,020110,452
31044,060035,452
10002,12002x,451
10053,110070,451
20044,060020,451
30014,040040,451
30167,060100,451
30478,020110,451
497,11012x,450
2988,11012x,450
10032,040040,450
20028,090010,450
20049,050050,450
20052,020040,450
20112,050060,450
20131,040040,450
20151,060100,450
1983,020110,449
31018,050070,449
10036,020220,448
10036,120010,448
10050,040040,448
10072,050050,448
10075,110280,448
30169,060100,448
30413,100140,448
1413,060100,447
10027,12002x,447
10046,010060,447
10046,110280,447
10072,060100,447
10081,020110,447
20122,060340,447
30281,11012x,447
30991,020110,447
10052,050070,446
20036,130030,446
20046,020110,446
20108,130030,446
30797,060100,446
31192,140010,446
10033,060020,445
20057,010060,445
20057,020110,445
20062,060035,445
20137,050050,445
30127,06007x,445
30356,040040,445
30416,050050,445
30439,040040,445
20003,020110,444
20010,060035,444
20116,050070,444
30172,010060,444
30387,060130,444
10012,140010,443
10057,140010,443
20057,160800,443
20106,010230,443
20154,050070,443
30788,020110,443
30914,130030,443
30962,020110,443
10079,040040,442
20094,050050,442
20147,050050,442
30326,040040,442
30586,040040,442
90220,110080,442
2905,020200,441
10029,050050,441
20041,060010,441
1337,020110,440
3018,110080,440
10005,12002x,440
10048,03001x,440
20036,050070,440
20041,130030,440
20128,050130,440
20144,040040,440
30255,020110,440
30326,020110,440
30874,050050,440
10046,130030,439
20057,050170,439
30330,040040,439
30746,010010,439
30999,020200,439
10024,110080,438
10034,050070,438
10046,060020,438
20009,040040,438
20149,020110,438
30083,040040,438
30366,020200,438
30499,040040,438
30547,040040,438
30584,050070,438
30747,020110,438
31448,060040,438
10027,040040,437
10063,040040,437
20001,110280,437
30483,050070,437
30783,010060,437
10022,140010,436
20004,060035,436
20068,090010,436
31157,020110,436
10013,06007x,435
10055,110080,435
20026,060040,435
20076,010060,435
20091,050050,435
20141,140010,435
30890,020110,435
10055,060340,434
10078,050070,434
10082,020110,434
20050,050050,434
20134,050130,434
30563,020110,434
30735,050050,434
30783,050130,434
30947,060241,434
139,070343,433
153,090010,433
2663,100020,433
10024,03001x,433
10050,060100,433
20017,040040,433
20047,12002x,433
30139,040040,433
10034,06007x,432
10066,020110,432
20051,050070,432
20121,050050,432
20122,020110,432
30818,050050,432
31162,060100,432
31342,040040,432
2903,060100,431
10040,050050,431
20009,050050,431
20129,050050,431
30035,060100,431
30071,060100,431
30156,140010,431
30184,110280,431
30387,060035,431
30838,140010,431
31147,060241,431
31319,060035,431
31517,050050,431
10038,060100,430
10058,060180,430
20033,12002x,430
20063,040040,430
1672,050130,429
10041,040040,429
10075,06007x,429
20044,050050,429
20122,050050,429
30279,03001x,429
20040,110080,428
20106,050070,428
30071,020110,428
30667,060100,428
30789,050050,428
31012,050070,428
10024,050080,427
10034,060010,427
10048,050070,427
20052,060040,427
20137,060020,427
30354,060100,427
30515,020110,427
30642,050130,427
2269,110080,426
10028,050050,426
20015,110080,426
30005,040040,426
30014,050050,426
30250,040040,426
31214,140010,426
90022,060100,426
220,010060,425
1573,060235,425
1797,060230,425
10006,040040,425
10010,020110,425
20085,140010,425
30103,060100,425
30167,020110,425
30607,070343,425
30753,040040,425
30790,050130,425
30818,020110,425
31271,11012x,425
31461,040040,425
2512,020110,424
10044,050050,424
20081,010060,424
20082,050130,424
30292,020110,424
30374,050050,424
30500,050050,424
31468,050070,424
1974,010060,423
10025,060100,423
10075,060020,423
20036,120090,423
20066,140010,423
30519,060035,423
30561,050170,423
10046,020200,422
20057,110280,422
30328,020110,422
30330,060340,422
20129,060050,421
20130,130030,421
30095,050050,421
30101,040040,421
30255,070343,421
30636,050050,421
30796,010060,421
30993,050050,421
31271,110080,421
10012,060020,420
20089,050050,420
20089,050070,420
20092,040040,420
20108,120010,420
20144,050070,420
30664,050050,420
30841,050050,420
10019,010030,419
10059,110280,419
20055,010060,419
20057,040040,419
20089,12002x,419
20117,140010,419
20138,110280,419
30843,020110,419
30902,020110,419
30913,040040,419
31167,060100,419
10064,090010,418
30334,060100,418
30983,020110,418
31341,050210,418
31404,110280,418
90193,050050,418
544,060100,417
2057,070343,417
10015,040040,417
10076,050070,417
20044,060050,417
20060,050070,417
20084,14031x,417
30058,060100,417
30162,040040,417
30488,050130,417
30536,020110,417
30833,040040,417
30998,020110,417
10030,050070,416
10035,12002x,416
10054,120010,416
20053,060035,416
20079,050050,416
20128,010060,416
20137,130030,416
30516,050050,416
30551,050050,416
30976,050130,416
1296,060100,415
10024,120060,415
10031,120010,415
20005,050130,415
20022,050070,415
20063,050050,415
30013,060100,415
30535,020110,415
30866,060100,415
31043,060100,415
31061,140010,415
31301,140010,415
31328,050050,415
644,010230,414
3182,040040,414
10006,060100,414
10024,12002x,414
10044,020110,414
20040,060050,414
20053,060020,414
20075,140010,414
30086,060100,414
31404,130030,414
90170,050050,414
728,110050,413
1296,12002x,413
2255,010310,413
10011,12002x,413
10012,050070,413
20006,060020,413
20121,010060,413
30432,060100,413
30697,130030,413
30763,060020,413
31198,140010,413
10023,050130,412
10032,110080,412
10041,12002x,412
10044,040040,412
20016,060340,412
20059,040040,412
20078,010010,412
20119,010060,412
20146,180040,412
20154,12002x,412
30281,050050,412
30338,110280,412
30556,070350,412
30914,060100,412
31120,060100,412
90100,060020,412
90157,020110,412
1224,120260,411
1740,010060,411
3132,110080,411
3210,020110,411
20059,050050,411
20065,040040,411
20143,050130,411
20144,130030,411
30144,060100,411
30187,010060,411
30419,140010,411
30865,050050,411
31157,020220,411
31288,050130,411
31445,06007x,411
1094,070230,410
3300,020110,410
10055,050050,410
10061,140010,410
30096,020110,410
30103,130030,410
30281,110080,410
30428,060100,410
30565,020110,410
30758,060241,410
10013,060040,409
20020,020110,409
20048,090010,409
20060,050163,409
20136,040040,409
30519,040040,409
30883,110080,409
30950,010010,409
31019,060100,409
31242,060100,409
1309,020110,408
10020,050050,408
10052,010010,408
10055,060050,408
10067,060035,408
20083,110080,408
20104,12002x,408
20137,020110,408
20155,050050,408
30339,050130,408
30584,050050,408
30757,050050,408
1366,040040,407
2491,060220,407
10065,060010,407
20016,050050,407
20113,050050,407
30279,060010,407
30991,040040,407
2846,060100,406
10013,140010,406
10034,090010,406
20036,050050,406
20040,060020,406
20123,06007x,406
30172,060020,406
30447,060035,406
30915,050070,406
31025,090010,406
31504,050050,406
10005,06007x,405
10013,060100,405
10024,06007x,405
10024,060100,405
10031,130030,405
20031,110280,405
30394,050050,405
30788,040081,405
30790,050050,405
30797,050070,405
30992,040040,405
90149,020110,405
10016,060100,404
10032,03001x,404
10073,03001x,404
20040,060010,404
20091,010060,404
20099,060100,404
20106,010010,404
20112,010070,404
30020,050050,404
30387,050050,404
30920,120060,404
31461,12002x,404
1249,050050,403
10001,090010,403
10019,110280,403
10066,060010,403
30344,040040,403
30902,050070,403
30999,020110,403
31333,050050,403
31408,110080,403
1000,070343,402
10031,060010,402
10068,090010,402
20026,060010,402
30258,040040,402
30454,060100,402
30850,060100,402
30859,020110,402
31326,070370,402
31343,12002x,402
10025,050070,401
